channel,idx,mrs,magnitude,angle,date
0.0,0.0004734554292301351,0.001458318888811383,0.0015332494985916538,72.01354429395418,2020-01-27
1.0,-0.000671436059998412,-0.00043078620570349726,0.0007977487936002204,-147.31620267655236,2020-01-27
2.0,0.0010271914014479125,0.0024319038639417268,0.002639939124044952,67.10169960046615,2020-01-27
3.0,0.0008766402949746228,0.001909303915956072,0.0021009378025677924,65.33819005553616,2020-01-27
4.0,0.003081165843717951,0.00038183130044096655,0.0031047347871421467,7.064323102367215,2020-01-27
5.0,-0.0006610924850878273,-0.0006099043514833851,0.0008994590550981005,-137.30628415140106,2020-01-27
6.0,-0.0025838388521348486,0.0004264221910608221,0.0026187896247752787,170.6286984132608,2020-01-27
7.0,0.0008533606633191386,0.002390234678706873,0.0025380004414880288,70.35243868702959,2020-01-27
8.0,0.001133004950241231,0.0010608601335922849,0.0015521354452226696,43.11651843698171,2020-01-27
9.0,-0.0007328084025811808,-0.00036971993933012493,0.0008207929022791639,-153.22792744717728,2020-01-27
10.0,0.0006222689630176147,0.002082676574725592,0.0021736513927595983,73.36473334496887,2020-01-27
11.0,-0.0002823257382916828,-0.00025401564560576667,0.00037977858116863074,-138.02148031519974,2020-01-27
12.0,0.0002970079647146086,0.0005126247193269902,0.000592450701720396,59.91256630335868,2020-01-27
13.0,-0.0004433983585967908,-0.0002338773477048891,0.0005012990306950552,-152.18989846871537,2020-01-27
14.0,0.0012353029010573368,0.00033725545195093887,0.0012805133725312299,15.270428613871644,2020-01-27
15.0,-0.00031984108951891535,-0.00030257549938975353,0.00044028428926729327,-136.58895479841024,2020-01-27
16.0,-0.001397603418315962,-0.0008139565303542976,0.0016173498533696624,-149.7837140115817,2020-01-27
17.0,-0.00021434584100836395,-0.00032823046249097487,0.00039201961183673206,-123.14592547960436,2020-01-27
18.0,-0.00042540792485825453,-0.00036437701585896734,0.0005601272285994429,-139.4187699385615,2020-01-27
19.0,-0.00040298514989285417,-0.0004126602302533068,0.0005767889533155765,-134.32039672209376,2020-01-27
20.0,0.00031334179575707543,0.00035797429437843005,0.0004757401353722468,48.803716142542584,2020-01-27
21.0,-0.00022863668010891753,-0.00015036186833849476,0.0002736483563653733,-146.6692629752509,2020-01-27
22.0,0.0015623825288087784,0.0006851618029347813,0.0017060146138083792,23.679206094852322,2020-01-27
23.0,0.00019879088817898884,8.955763683688376e-06,0.00019899251977436065,2.5794981797929153,2020-01-27
24.0,-0.0002837071481621417,-0.00024903169952439846,0.00037750037521346345,-138.72407286173598,2020-01-27
25.0,-0.00029268163595744386,-0.00028033173396893314,0.0004052757346508108,-136.23467926994604,2020-01-27
26.0,-0.0003094464422715736,-0.0003866744499654195,0.0004952516843894567,-128.66946388234405,2020-01-27
27.0,-0.00025703596829377336,-0.00018606904471980728,0.00031731558171583585,-144.09911745237503,2020-01-27
28.0,-0.0004981489934720404,-0.0003606135524016784,0.0006149752465530341,-144.09895705868942,2020-01-27
29.0,-0.0003146384584442215,-0.00024679060404210414,0.00039987868382250973,-141.8906933665344,2020-01-27
30.0,-0.00020326180433289604,-0.0001710925832140106,0.00026568408520554566,-139.91150572488405,2020-01-27
31.0,-6.162329906878278e-05,-0.0004196415942248611,0.0004241420735929219,-98.35403145947863,2020-01-27
32.0,0.0006088433503236812,-0.000975823214633603,0.0011501831034453705,-58.038809264136646,2020-01-27
33.0,-0.00024693087129268424,-0.0003033439343656347,0.0003911424263791729,-129.14660138569343,2020-01-27
34.0,-0.0015339247296614407,-0.0003739885032632366,0.0015788579660121426,-166.297956470249,2020-01-27
35.0,-0.0003286868739591093,-0.00037756587025265543,0.0005005906985678584,-131.04093353419978,2020-01-27
36.0,-0.0004887882272233634,-0.0004643931316883995,0.000674221708217347,-136.4660703763527,2020-01-27
37.0,0.0012748045470728595,-0.00015217257562337555,0.0012838547916370802,-6.807149469327403,2020-01-27
38.0,-0.00042270784691625943,-0.00030575182393644077,0.0005216954108337931,-144.1211401409495,2020-01-27
39.0,-0.000832078724927155,-0.0007552132666215422,0.0011237001746718653,-137.77241279571888,2020-01-27
40.0,-0.00036364365233487766,-0.0003274802400494036,0.0004893669517920722,-137.9952993853179,2020-01-27
41.0,-0.00020584299037854298,-0.0001356157698283699,0.0002465014679755931,-146.6218643160664,2020-01-27
42.0,-0.0005782233136737412,-0.0006269373338051671,0.0008528731564509304,-132.68529685517947,2020-01-27
43.0,-0.00030739912552746356,-0.00035191231181022636,0.0004672649115637373,-131.13755655226032,2020-01-27
44.0,-0.00044913929754140263,-0.00031063268488643145,0.0005460941068311739,-145.3315801088765,2020-01-27
45.0,-0.0004093644608697172,-0.0003682183687451588,0.000550603331723029,-138.02900303516077,2020-01-27
46.0,-0.0004057011559524341,-0.00040945692649639517,0.0005764099258314482,-134.7360165065656,2020-01-27
