Date,Runs,Notes
1/27/2020,3,
1/29/2020,2,
1/30/2020,3,
2/4/2020,"4,5",
2/5/2020,3,
2/6/2020,2,
2/11/2020,2,
2/22/2020,2,
2/24/2020,4,
2/25/2020,2,
2/28/2020,3,
2/29/2020,"2,4",
3/2/2020,"2,4",
3/10/2020,"6,7",
3/12/2020,"4,5",
3/13/2020,"3,4",
3/17/2020,"2,3,4",
3/18/2020,"4,5",
3/19/2020,"4,5",
3/20/2020,"5,6",
6/24/2020,4,
6/26/2020,"5,6",
7/8/2020,"3,5",
7/13/2020,"3,4,5",
7/14/2020,"2,6,7","6 - stop before 250, 7 - TS29"
7/22/2020,"3,6",
7/23/2020,"3,5",
7/28/2020,"6,7",most likely noisy/not useable
7/29/2020,"3,4",
7/31/2020,"2,7",potentially just 7 - has lots of trials
8/3/2020,"4,7",
8/4/2020,"3,4",
8/8/2020,"4,5",
8/10/2020,"4,5",
8/11/2020,"3,4",
8/12/2020,"3,4",maybe noisy?
8/13/2020,"3,4",Notes mention noise issues
8/22/2020,"4,5",
8/24/2020,"3,4",Maybe (run 4 diff reference)
8/26/2020,5,
8/27/2020,3,
8/28/2020,2,
8/29/2020,"4,5",
8/31/2020,"5,6",
9/4/2020,"4,5",
9/5/2020,"6,7",
9/6/2020,"13,14",
9/7/2020,"5,7",
9/10/2020,3,most likely not useable
9/12/2020,"3,4",
9/16/2020,"3,5",
9/17/2020,2,
9/18/2020,2,
9/19/2020,"4,5",
9/21/2020,"4,5",
9/22/2020,"4,14",
9/23/2020,4,
9/24/2020,4,
9/28/2020,"3,2",
9/29/2020,"7,14",
10/2/2020,7,
10/7/2020,3,
10/12/2020,5,
10/16/2020,10,
10/19/2020,"3,2",maybe pref 3?
10/20/2020,"3,2",maybe pref 3?
10/21/2020,2,
10/23/2020,2,
10/27/2020,"3,2",pref 3
10/28/2020,1,
10/30/2020,2,
11/3/2020,"2,3",
11/5/2020,2,
11/9/2020,"2,3",
11/16/2020,"2,3",
11/17/2020,"2,4",
11/18/2020,1,
11/19/2020,1,
11/24/2020,"1,2",
11/25/2020,2,
12/2/2020,1,
12/3/2020,1,
12/4/2020,1,
12/7/2020,"1,2",
12/11/2020,1,
12/12/2020,"3,4",
12/14/2020,"2,3",
1/4/2021,6,
1/5/2021,2,emg
1/6/2021,"1,12",maybe weird data?
1/8/2021,"2,6",
1/11/2021,"2,4",
1/13/2021,3,
1/15/2021,1,bad day remove - 35 not 34
1/18/2021,"3,8",
1/20/2021,"3,14",maybe
1/21/2021,"5,7",emg
1/22/2021,"4,9",emg
1/23/2021,"6,8",
1/26/2021,1,
1/27/2021,"2,9",
1/29/2021,"3,6",probably not enough trials for either 29 or 34
2/1/2021,2,BAD DAY REMOVE
2/2/2021,1,
2/3/2021,"3,8",
2/15/2021,"3,5",EMG?
2/16/2021,3,
2/17/2021,"2,3,4",
2/19/2021,2,
