,Date,Status,Note,,,,,,
57,2020-01-27,good,some artifacts,,,,,,
56,2020-01-30,good,"some artifact, a few larger",,,,,,
55,2020-02-04,good,"some artifact, a few larger",,,,,,
54,2020-02-05,bad,not enough trials,,,,,,
53,2020-02-06,bad,no neural,,,,,,
52,2020-02-11,bad,not enough trials,,,,,,
51,2020-02-22,bad,not enough trials,,,,,,
50,2020-02-24,bad,not enough trials,,,,,,
49,2020-02-25,bad,not enough trials,,,,,,
48,2020-02-28,bad,not enough trials,,,,,,
47,2020-02-29,good,small artifacts,,,,,,
46,2020-03-02,good,"mostly small artifacts, some larger ones",,,,,,
45,2020-03-10,good,"mostly small artifacts, some larger ones",,,,,,
44,2020-03-12,bad,can't see avg line,,,,,,
43,2020-03-13,good,mostly small artifacts,,,,,,
42,2020-03-17,bad,no neural,,,,,,
41,2020-03-18,good,some artifacts,,,,,,
40,2020-03-19,good,a few large artifacts,,,,,,
39,2020-03-20,bad,no neural,,,,,,
38,2020-06-24,bad,pretty noisy?,,,,,,
37,2020-06-26,good,some artifacts,,,,,,
36,2020-07-08,bad,no neural,,,,,,
35,2020-07-13,good,mostly small artifacts,,,,,,
34,2020-07-14,good,mostly small artifacts,,,,,,
33,2020-07-22,bad,bit noisy,,,,,,
32,2020-07-23,good,some artifacts,,,,,,
31,2020-07-28,bad,"some large artifacts, but rest looks okay? marking bad for now",,,,,,
30,2020-07-29,bad,some pretty large artifacts,,,,,,
29,2020-07-31,good,"mostly small artifacts, a few larger ones",,,,,,
28,2020-08-03,bad,pretty noisy,,,,,,
27,2020-08-04,good,mostly small artifacts,,,,,,
26,2020-08-08,bad,no neural,,,,,,
25,2020-08-11,good,small artifacts,,,,,,
24,2020-08-12,bad,no neural,,,,,,
23,2020-08-13,bad,"some large fluctuations, marking bad for now, but the rest looks fine",,,,,,
22,2020-08-22,good,mostly small artifacts,,,,,,
21,2020-08-24,bad,can't see avg line,,,,,,
20,2020-08-26,bad,not enough trials,,,,,,
19,2020-08-27,bad,not enough trials,,,,,,
18,2020-08-28,bad,can't see avg line,,,,,,
17,2020-08-29,good,mostly small artifacts,,,,,,
16,2020-08-31,good,pretty good,,,,,,
